yearweek,id_week,netsales_online,direct_mail,emails,phone_calls,online_budget,promotion,holiday,avg_cloud_index,avg_temp,avg_wind_speed,avg_rainfall_level,avg_hours_sun,avg_snow_level
201518,18,35320451,2253643,8547161,65523,956595.9,0,1,5.732824643,11.9901416,3.678627845,3.925458248,5.105117015,2.934909157
201519,19,34615373,376030,8829009,88080,893168.52,0,0,5.188592523,13.79061432,3.801412958,0.915825488,7.995914889,5.039530544
201520,20,36262031,559684,6973814,56545,1541841.69,0,1,5.436107236,11.51978702,3.485310162,1.718042593,6.060027603,5.020492385
201521,21,33241036,1706097,6995916,72845,1649675.63,1,1,5.838103342,11.50729553,2.817526024,0.906995921,4.669525586,6.319662074
201522,22,37175270,204292,8208401,87947,1604629.35,1,0,5.73037375,14.11648965,4.352275985,1.347846978,6.357368951,5.515598092
201523,23,39090360,114695,8503787,67480,1417213.72,1,0,3.890975594,16.65174597,3.303611367,1.571418778,9.138512628,4.714288666
201524,24,30531806,2416517,7533054,81342,1347118.68,0,0,4.723727834,16.40444003,2.998252469,1.788937846,7.879671951,3.800801406
201525,25,39814524,58953,7625408,74131,1455439.24,0,0,6.914449541,12.55202697,3.789309091,3.936147549,2.426481321,3.777957726
201526,26,36623924,124366,7735899,24214,1327573.55,0,0,4.490893165,18.5120066,2.601174847,0.767018221,9.206958974,3.755428787
201527,27,37843529,690131,7252297,33208,1388027.15,0,0,3.227638789,23.30498483,3.42737263,2.454204936,10.92600646,2.934970989
201528,28,35533908,52689,8331179,101010,1275315.89,0,0,5.269592111,17.16482011,3.57069957,1.411070788,6.45737139,2.265240778
201529,29,32692451,3408556,7560748,102542,1285733.52,0,0,4.498424241,21.52929407,3.16201596,2.544215839,8.063891934,1.577097846
201530,30,34229288,141820,9317127,88906,1403691.61,0,0,5.919478059,17.00802402,4.550004293,3.265634875,5.448276412,0.252050581
201531,31,32667775,200264,7297722,116183,1271418.44,0,0,3.817847264,18.17004312,3.065763945,0.625144423,9.61908266,0
201532,32,38308176,138523,8630544,96855,1305698.75,1,0,3.793666379,22.88948789,2.86411145,1.213218757,9.340035319,0
201533,33,33837233,137905,7589069,82894,1414672.25,0,0,5.768330369,18.58986845,3.144125931,5.616508511,4.580940823,0
201534,34,34200142,138559,7125515,84073,1318075.18,0,0,4.041533736,17.52454855,3.442571997,1.597305231,8.247206737,0.005424955
201535,35,35570594,427048,7296349,79524,1414710.53,0,0,4.416710152,19.41434356,2.955307958,2.714617534,7.034512214,0
201536,36,41015458,2186864,9401551,92887,1649886.24,0,0,5.290185904,12.45105833,3.753335565,1.783244232,4.588594902,0.181146356
201537,37,41338336,100387,7172815,87481,1807977.5,0,0,5.290070854,14.48919463,3.603982732,2.801426533,4.588314587,0.054172577
201538,38,46788160,88193,9512534,81322,1798999.76,0,0,6.012275918,12.75373204,3.36340166,2.327611082,3.180727002,0.068337794
201539,39,41373853,5910600,9552724,154088,1635445.2,0,0,3.713910675,10.86982945,3.10754725,0.055092548,6.38089609,0.110155551
201540,40,42478150,259658,8346328,95753,1645229.67,0,1,4.539678663,11.77548998,2.97592921,2.057316093,5.549926922,0.011258596
201541,41,42355486,1925330,10787953,102355,1704082.3,0,0,5.652790083,7.004092486,3.116658093,1.861770358,3.400954965,0.086313949
201542,42,49033441,115989,8151509,99001,1812599.81,0,0,7.524024681,6.38087976,2.209915138,2.167330863,0.529007662,0.104958765
201543,43,46619524,1140086,9630483,78449,1905527.64,0,0,5.632720857,8.478995005,3.020904121,0.250603462,3.427998199,0.069322683
201544,44,47150426,274402,10555836,92749,1912330.42,0,0,4.9786553,7.101480765,2.309220891,0.041501036,4.367888165,0.044182732
201545,45,50889994,155041,10147778,109787,1938037.09,0,0,6.425618343,12.39234184,4.493242715,1.252076958,2.497946622,0.022358965
201546,46,58559556,2662513,9698498,96276,1932750.99,0,0,6.477906136,9.931169742,5.967033996,3.948223179,1.857125222,0.015969313
201547,47,54731924,3155611,9983402,99951,2004199.95,0,0,6.757891875,3.477956359,4.75635976,5.134649361,1.307826917,0.696250073
201548,48,58717865,308423,8611773,116230,2095727.72,0,0,6.574316401,4.820487562,5.425096401,4.498778824,1.017769687,0.729586691
201549,49,64294037,5402656,8878043,66244,2109746.82,1,0,5.497080374,6.021403478,4.379844323,0.807101314,2.697925929,0.18760269
201550,50,56269324,236300,7618751,15684,2237049.17,0,0,6.543636706,4.304439695,4.074197846,2.074103114,1.653410081,0.206775503
201551,51,43963498,177631,5111074,1517,1778953.51,0,1,6.43055104,8.884193693,4.895640369,0.989807424,1.505717683,0.204777932
201552,52,36433669,90117,7564616,11,1863462.65,0,1,5.60343676,5.759974747,4.496247181,0.740044631,3.045979618,0.200858841
201601,53,40015047,120129,10054619,1,2237636.12,0,1,6.999842221,-0.227734488,4.305537888,2.529366444,0.732614404,1.449034143
201602,54,34619683,40166,2588381,60954,1821502.44,0,0,6.479667482,2.664967313,4.430770759,3.532285491,1.504907945,1.292209434
201603,55,42885386,175466,17097215,115098,1596584.27,0,0,6.155991726,-3.473448773,3.080911994,1.01132158,2.036120421,6.70069749
201604,56,44777727,4629043,7578908,101666,1530047.45,1,0,6.344953148,3.721689305,4.466014483,1.42741753,2.154281966,3.766557765
201605,57,38761934,171604,10238637,81679,1612523.74,0,0,6.813623521,5.424790765,6.744569565,4.572002803,1.170795454,0.925198381
201606,58,42204320,248996,12155015,74289,1689098.13,0,0,6.597304132,5.006291486,5.68415339,3.235563811,1.551033482,1.178601688
201607,59,45470260,382978,8244297,90109,1756612.96,0,0,6.278520341,1.241385281,3.419294002,1.304116394,2.344089613,1.484229238
201608,60,44647995,152240,10283122,91222,1955217.45,0,0,6.446868657,3.697891641,5.086334565,4.167348244,1.797326326,1.506846062
201609,61,44439930,711737,10290664,124886,2069613.79,1,0,5.859088391,1.109752875,3.776356067,1.599600646,3.187058193,2.189213298
201610,62,45878082,3350461,11720336,101635,1909502.4,1,0,5.588453433,1.90832253,3.109360655,1.321344566,3.419154006,2.159029887
201611,63,44907154,150804,8359016,95666,1761764.9,0,0,5.176124723,2.820908039,3.673293576,0.279916054,4.422037838,1.671346214
201612,64,38461217,295584,7873088,98796,1796972.1,0,0,6.522978973,4.679872759,3.40419246,0.521647677,2.354787632,1.265759944
201613,65,41699755,2425641,7668722,41991,1902367.77,0,1,6.22841812,7.232995951,4.370416667,3.403155425,3.414807766,1.183203917
201614,66,39974799,676602,9483048,78820,1862840.98,0,0,5.763612127,10.02179079,3.574407374,1.083802505,4.916544104,1.007763343
201615,67,37859152,267528,10870595,91092,1827204.4,0,0,5.37256543,8.482899048,2.868122613,1.230459812,5.195867153,0.782621798
201616,68,36864697,2765464,7837515,95469,1875688.47,0,0,4.807835821,8.298036948,3.867634828,2.305924544,5.946092998,0.779227901
201617,69,47848759,538072,11063595,95092,2011837.45,0,0,6.0109388,4.524787148,4.175091134,2.835231574,4.499477831,1.12091168
201618,70,34791839,2725867,14554589,109590,1798657.02,0,1,4.090439727,9.311836327,3.345890478,1.051431779,8.580313138,3.685675834
201619,71,50098061,2202307,13196139,71840,1753510.35,1,0,2.6211983,16.18637941,4.243637159,0.815760415,11.36984996,6.033862487
201620,72,43307979,151906,7847380,64704,2131867.17,0,1,6.234468854,10.25580158,3.868535508,1.876519303,4.288010689,6.127307193
201621,73,36867560,546870,8195371,78746,1933877.82,0,0,6.436659932,14.33615111,3.180534297,2.524385306,5.166679885,6.060919475
201622,74,44024636,251865,10455257,76795,1952888.91,0,0,6.132247827,16.55512871,3.039669924,6.477440329,4.710016051,5.654584421
201623,75,42113041,145385,12527946,87874,2001190.42,0,0,4.444585796,17.40619883,2.64408131,2.738713039,8.48673167,5.235314432
201624,76,42040504,2679952,9496369,94369,2144295.92,0,0,6.491490984,14.86980726,2.811095772,5.149983428,4.350205598,5.051662207
201625,77,45344475,69483,10610979,91887,2056110.88,0,0,5.12573218,17.05155004,3.166882109,2.594587841,6.737706101,5.111669127
201626,78,39922316,252103,7982129,16151,2065352.53,0,0,5.540485131,18.21604527,3.274797212,3.849924041,6.550047862,4.505554939
201627,79,40101451,206044,11027768,105679,1631108.27,0,0,5.276962986,16.46808905,3.705250469,1.368228266,7.201503682,3.567836715
201628,80,40901761,394402,8648798,93889,1556170.72,1,0,6.208231962,18.38282828,3.645813094,3.159493761,5.96237859,2.952199605
201629,81,34222017,971160,12186981,77537,1518177.81,0,0,4.705357144,19.01908771,2.979890153,1.199027158,7.505811687,2.835426245
201630,82,34531199,3169490,6268400,82277,1638014.29,0,0,5.869481561,20.22561665,2.325719772,3.386521297,6.119769004,1.932329431
201631,83,37987991,165467,9532220,73091,1941854.89,0,0,6.175379604,17.84256737,3.260585339,3.615617218,4.392387824,1.228277518
201632,84,38162458,160004,11155204,80453,1729976.48,0,0,5.3300976,15.46375286,3.478849369,1.855062111,5.903435876,1.027830003
201633,85,39052746,161382,12306392,78289,1626465.07,0,0,4.357368322,16.9731926,2.805102603,0.503418054,7.799550988,0.598577613
201634,86,39519019,256451,11696607,84939,1702828.47,0,0,3.797196216,18.76153846,2.967398209,1.096281064,8.063277076,0.004264392
201635,87,35943549,4180244,12086144,89561,1658523.39,0,0,2.815204745,20.09022017,2.890505986,0.874164669,9.724458742,0
201636,88,46629519,252675,9763279,88030,1996112.08,1,0,4.380326841,17.7186524,2.971175709,1.713336734,7.504649099,0.01479995
201637,89,38488718,178370,12453464,80538,1902507.62,0,0,1.548702327,20.48019086,2.575349909,0.080368098,10.30764227,0
